game_id,parent_id,year,iteration,reimplementation,expansion,compilation
161936,30549,2015,2,1,0,0
182028,25613,2015,2,1,0,0
173346,68448,2015,2,1,0,0
102794,31260,2013,2,1,0,0
115746,9609,2011,2,1,0,0
170216,23985,2015,2,1,0,0
164153,17226,2014,3,1,0,0
205059,83330,2016,2,1,0,0
2651,12166,2004,2,1,0,0
124742,1301,2012,2,1,0,0
183394,128621,2015,2,1,0,1
146021,15987,2013,2,1,0,0
12493,26055,2005,2,1,0,0
132531,28143,2014,2,1,0,0
194655,9963,2016,2,1,0,0
104162,17226,2012,2,1,0,0
128882,41114,2012,2,1,0,0
103343,6472,2011,2,1,0,0
146652,129437,2014,2,1,0,0
17133,4098,2005,2,1,0,0
175155,22827,2015,2,1,0,0
14996,9209,2005,2,1,0,0
39463,15,2008,4,1,0,0
27833,4098,2009,2,1,0,0
176189,113924,2015,2,1,0,0
31627,9209,2007,2,1,0,0
154203,73369,2014,2,1,0,0
10630,551,2004,2,1,0,0
20551,3307,2006,2,1,0,0
146439,25417,2013,2,1,0,0
59294,25,2010,2,1,0,0
181304,113997,2015,2,1,0,0
181279,20963,2015,2,1,0,0
155873,2651,2014,2,1,0,0
119890,31260,2012,2,1,0,0
54138,24181,2009,2,1,0,0
40692,60,2009,2,1,0,0
15985,712,2004,4,1,0,0
760,372,2000,3,1,0,0
192291,133473,2016,2,1,0,0
198928,30549,2016,2,1,0,0
176920,18258,2015,2,1,0,0
54625,63091,2009,2,1,0,0
105134,181,2011,2,1,0,0
157969,3705,2014,4,1,0,0
8217,3076,2004,2,1,0,0
15987,34,2005,2,1,0,0
21348,9209,2006,2,1,0,0
147949,142503,2014,2,1,0,0
712,2288,1994,2,1,0,0
18833,3201,2005,2,1,0,0
136063,65244,2013,2,1,0,0
100901,74596,2011,2,1,0,0
17226,10640,2005,2,1,0,0
150658,30549,2014,2,1,0,0
169255,39953,2015,2,1,0,0
116998,53953,2012,2,1,0,0
36553,1353,2008,2,1,0,0
90419,43,2011,3,1,0,0
62222,14105,2010,2,1,0,0
34119,788,2009,2,1,0,0
166669,3076,2014,4,1,0,0
155703,71021,2014,2,1,0,0
192458,73369,2016,2,1,0,0
198994,147020,2016,2,1,0,0
121288,119657,2012,2,1,0,0
1353,22303,1999,2,1,0,0
160499,70323,2014,2,1,0,0
30869,13883,2007,2,1,0,0
128780,284,2012,2,1,0,0
182134,155703,2016,2,1,0,0
148575,91536,2014,2,1,0,0
192153,30549,2016,2,1,0,0
20963,936,2005,2,1,0,0
4390,822,2002,2,1,0,0
38996,620,2010,2,1,0,0
88,4432,1999,2,1,0,0
6249,431,2003,2,1,0,0
200680,31260,2016,2,1,0,0
372,322864,1999,3,1,0,0
65901,28720,2010,2,1,0,0
158275,91536,2014,2,1,0,0
168584,129622,2015,2,1,0,0
41066,17392,2012,2,1,0,0
172308,34084,2015,2,1,0,0
37904,173,2008,2,1,0,0
175640,42052,2016,2,1,0,0
174785,3931,2016,2,1,0,0
94,43,1999,2,1,0,0
132028,24800,2012,2,1,0,0
156009,147999,2014,2,1,0,0
155362,19237,2014,2,1,0,0
156336,71836,2014,2,1,0,0
143741,3955,2013,2,1,0,0
156943,9217,2014,2,1,0,0
12902,822,2004,2,1,0,0
7717,822,2003,2,1,0,0
156566,3800,2014,3,1,0,0
173442,22545,2015,2,1,0,0
181530,21523,2015,2,1,0,0
67492,25417,2010,2,1,0,0
131646,230,2012,2,1,0,0
174570,129437,2015,2,1,0,0
55427,21763,2009,2,1,0,0
173,64897,1997,2,1,0,0
191977,84876,2016,2,1,0,0
104363,121,2012,2,1,0,0
104710,589,2012,2,1,0,0
135382,182961,2014,2,1,0,0
72287,21763,2010,2,1,0,0
27588,5782,2007,2,1,0,0
153016,46213,2011,2,1,0,0
18100,491,2005,2,1,0,0
38159,27682,2008,2,1,0,0
165838,54625,2014,2,1,0,0
66056,278,2010,3,1,0,0
41,43144,1980,2,1,0,0
5737,66,2003,2,1,0,0
142326,131366,2013,2,1,0,0
175117,632,2015,2,1,0,0
27364,18602,2007,2,1,0,0
156546,22303,2015,2,1,0,0
1634,1758,1995,2,1,0,0
68264,38877,2011,4,1,0,0
136991,152757,2015,2,1,0,0
39953,4286,2008,2,1,0,0
21523,9829,2005,2,1,0,0
1382,383,2001,2,1,0,0
183880,181,2015,3,1,0,0
53093,29078,2014,2,1,0,0
123955,2154,2012,2,1,0,0
47055,5525,2010,2,1,0,0
147303,822,2013,2,1,0,0
105,1367,1997,2,1,0,0
212445,712,2016,5,1,0,0
138649,91536,2015,2,1,0,0
109125,3307,2012,3,1,0,0
16395,2453,2005,2,1,0,0
156714,1037,2014,2,1,0,0
902,72,2000,2,1,0,0
175199,19857,2015,2,1,0,0
10,711,1998,2,1,0,0
131014,822,2012,2,1,0,0
160902,91536,2015,2,1,0,0
35052,98,2008,2,1,0,0
152470,1014,2015,4,1,0,0
152,344176,1995,1,0,0,1
157809,126042,2014,2,1,0,0
492,294,2000,2,1,0,0
13884,1491,2004,2,1,0,0
117985,13,2012,2,1,0,0
123607,67928,2012,2,1,0,0
22484,9674,2006,2,1,0,0
22038,1143,2006,2,1,0,0
106662,2651,2011,2,1,0,0
1897,13,1999,2,1,0,0
67254,4741,2010,2,1,0,0
