game_id,Abstract Games,Children's Games,Customizable Games,Family Games,Party Games,Strategy Games,Thematic Games,Wargames
161936,0,0,0,0,0,1,1,0
182028,0,0,0,0,0,1,0,0
12333,0,0,0,0,0,1,0,1
120677,0,0,0,0,0,1,0,0
174430,0,0,0,0,0,1,1,0
187645,0,0,0,0,0,0,1,0
169786,0,0,0,0,0,1,0,0
167791,0,0,0,0,0,1,0,0
173346,0,0,0,0,0,1,0,0
102794,0,0,0,0,0,1,0,0
84876,0,0,0,0,0,1,0,0
3076,0,0,0,0,0,1,0,0
115746,0,0,0,0,0,0,1,1
31260,0,0,0,0,0,1,0,0
96848,0,0,0,0,0,1,1,0
170216,0,0,0,0,0,1,0,0
25613,0,0,0,0,0,1,0,0
164153,0,0,0,0,0,0,1,0
193738,0,0,0,0,0,1,0,0
205059,0,0,0,0,0,0,1,0
2651,0,0,0,0,0,1,0,0
209010,0,0,0,0,0,1,1,0
72125,0,0,0,0,0,1,0,0
205637,0,1,1,0,0,0,1,0
121921,0,0,0,0,0,0,1,0
175914,1,0,0,0,0,1,0,0
124742,0,0,1,0,0,0,0,0
28720,0,0,0,0,0,1,0,0
164928,0,0,0,0,0,1,0,0
35677,0,0,0,0,0,1,0,0
126163,0,0,0,0,0,1,0,0
178900,0,0,0,0,1,0,0,0
146508,0,0,0,0,0,0,1,0
183394,0,0,0,0,0,1,0,0
124361,0,0,0,0,0,1,0,0
122515,0,0,0,0,0,1,0,0
68448,0,0,0,1,0,1,0,0
171623,0,0,0,0,0,1,0,0
18602,0,0,0,0,0,1,0,0
146021,0,0,0,0,0,0,1,0
150376,0,0,0,0,0,0,1,0
12493,0,0,0,0,0,1,1,0
177736,0,0,0,0,0,1,0,0
163412,1,0,0,1,0,0,0,0
62219,0,0,0,0,0,1,0,0
110327,0,0,0,0,0,1,0,0
28143,0,0,0,0,0,1,0,0
157354,0,0,0,0,0,1,0,0
132531,0,0,0,0,0,1,0,0
93,0,0,0,0,0,1,0,0
40834,0,0,0,0,0,1,0,0
103885,0,0,1,0,0,0,1,1
37111,0,0,0,0,0,0,1,0
159675,0,0,0,0,0,1,0,0
36218,0,0,0,0,0,1,0,0
2511,0,0,0,0,0,0,1,0
172386,0,1,0,0,0,1,0,0
144733,0,0,0,0,0,1,0,0
102680,0,0,0,0,0,1,0,0
42,0,0,0,0,0,1,0,0
194655,1,0,0,0,0,0,0,0
30549,0,0,0,1,0,1,0,0
73439,0,0,0,0,0,1,0,0
104162,0,0,0,0,0,0,1,0
521,0,0,0,1,0,0,0,0
155426,0,0,0,0,0,1,0,0
9609,0,0,0,0,0,0,1,1
128882,0,0,0,0,1,0,0,0
155068,0,0,0,0,0,0,1,0
127023,0,0,0,0,0,1,0,0
103343,0,0,0,0,0,1,0,0
34635,0,0,1,1,0,1,0,0
161970,0,0,0,0,0,1,0,0
146652,0,1,0,0,0,0,1,0
